seed,num_pois,num_vqcs,buffer_size,speed,camera_reach,assign_success,redundant_delivers,avg_latency,discovery_rate
100,50,5,3,5.0,10.0,17,5,28.294,0.09
100,50,5,3,5.0,15.0,11,5,3.273,0.11
100,50,5,3,5.0,20.0,21,9,10.619,0.14
100,50,5,5,5.0,10.0,17,14,25.25,0.25
100,50,5,5,5.0,15.0,20,18,16.167,0.25
100,50,5,5,5.0,20.0,14,13,12.0,0.21
100,50,5,10,5.0,10.0,21,44,12.35,0.34
100,50,5,10,5.0,15.0,24,50,13.789,0.37
100,50,5,10,5.0,20.0,27,50,10.957,0.36
100,50,10,3,5.0,10.0,41,41,10.525,0.32
100,50,10,3,5.0,15.0,30,17,8.793,0.26
100,50,10,3,5.0,20.0,31,15,15.065,0.21
100,50,10,5,5.0,10.0,36,58,12.324,0.41
100,50,10,5,5.0,15.0,37,53,12.629,0.4
100,50,10,5,5.0,20.0,35,36,17.853,0.39
100,50,10,10,5.0,10.0,37,120,11.848,0.46
100,50,10,10,5.0,15.0,34,88,10.138,0.47
100,50,10,10,5.0,20.0,33,139,8.586,0.49
100,50,20,3,5.0,10.0,30,91,9.926,0.39
100,50,20,3,5.0,15.0,46,112,5.978,0.38
100,50,20,3,5.0,20.0,34,95,13.676,0.38
100,50,20,5,5.0,10.0,25,157,7.591,0.42
100,50,20,5,5.0,15.0,41,204,4.649,0.46
100,50,20,5,5.0,20.0,38,187,6.417,0.47
100,50,20,10,5.0,10.0,27,266,12.333,0.44
100,50,20,10,5.0,15.0,31,288,5.667,0.48
100,50,20,10,5.0,20.0,30,318,6.704,0.48
100,100,5,3,5.0,10.0,25,9,5.04,0.27
100,100,5,3,5.0,15.0,38,8,5.184,0.3
100,100,5,3,5.0,20.0,20,4,4.3,0.25
100,100,5,5,5.0,10.0,20,16,8.55,0.48
100,100,5,5,5.0,15.0,30,26,14.067,0.41
100,100,5,5,5.0,20.0,25,15,4.28,0.49
100,100,5,10,5.0,10.0,26,52,11.333,0.72
100,100,5,10,5.0,15.0,28,62,13.52,0.68
100,100,5,10,5.0,20.0,29,42,16.483,0.69
100,100,10,3,5.0,10.0,49,21,8.49,0.33
100,100,10,3,5.0,15.0,38,15,6.263,0.38
100,100,10,3,5.0,20.0,54,28,6.192,0.33
100,100,10,5,5.0,10.0,41,32,5.439,0.48
100,100,10,5,5.0,15.0,53,42,9.358,0.62
100,100,10,5,5.0,20.0,66,58,12.477,0.73
100,100,10,10,5.0,10.0,33,81,5.242,0.77
100,100,10,10,5.0,15.0,40,54,20.256,0.67
100,100,10,10,5.0,20.0,47,81,21.957,0.87
100,100,20,3,5.0,10.0,81,55,14.45,0.5
100,100,20,3,5.0,15.0,64,35,13.73,0.57
100,100,20,3,5.0,20.0,73,48,13.535,0.62
100,100,20,5,5.0,10.0,58,135,9.455,0.77
100,100,20,5,5.0,15.0,71,55,10.643,0.64
100,100,20,5,5.0,20.0,66,112,11.18,0.82
100,100,20,10,5.0,10.0,63,236,13.547,0.94
100,100,20,10,5.0,15.0,69,234,6.125,0.94
100,100,20,10,5.0,20.0,60,351,8.426,0.92
100,200,5,3,5.0,10.0,25,9,5.04,0.27
100,200,5,3,5.0,15.0,38,8,5.184,0.3
100,200,5,3,5.0,20.0,20,4,4.3,0.25
100,200,5,5,5.0,10.0,20,16,8.55,0.48
100,200,5,5,5.0,15.0,30,26,14.067,0.41
100,200,5,5,5.0,20.0,25,15,4.28,0.49
100,200,5,10,5.0,10.0,26,52,11.333,0.72
100,200,5,10,5.0,15.0,28,62,13.52,0.68
100,200,5,10,5.0,20.0,29,42,16.483,0.69
100,200,10,3,5.0,10.0,49,21,8.49,0.33
100,200,10,3,5.0,15.0,38,15,6.263,0.38
100,200,10,3,5.0,20.0,54,28,6.192,0.33
100,200,10,5,5.0,10.0,41,32,5.439,0.48
100,200,10,5,5.0,15.0,53,42,9.358,0.62
100,200,10,5,5.0,20.0,66,58,12.477,0.73
100,200,10,10,5.0,10.0,33,81,5.242,0.77
100,200,10,10,5.0,15.0,40,54,20.256,0.67
100,200,10,10,5.0,20.0,47,81,21.957,0.87
100,200,20,3,5.0,10.0,81,55,14.45,0.5
100,200,20,3,5.0,15.0,64,35,13.73,0.57
100,200,20,3,5.0,20.0,73,48,13.535,0.62
100,200,20,5,5.0,10.0,58,135,9.455,0.77
100,200,20,5,5.0,15.0,71,55,10.643,0.64
100,200,20,5,5.0,20.0,66,112,11.18,0.82
100,200,20,10,5.0,10.0,63,236,13.547,0.94
100,200,20,10,5.0,15.0,69,234,6.125,0.94
100,200,20,10,5.0,20.0,60,351,8.426,0.92
