seed,num_pois,num_vqcs,buffer_size,speed,camera_reach,assign_success,redundant_delivers,avg_latency,discovery_rate
100,25,5,3,5.0,10.0,20,17,9.4,0.16
100,25,5,3,5.0,15.0,20,4,13.474,0.15
100,25,5,3,5.0,20.0,18,5,10.389,0.11
100,25,5,5,5.0,10.0,21,23,5.714,0.19
100,25,5,5,5.0,15.0,22,4,7.85,0.21
100,25,5,5,5.0,20.0,19,19,12.263,0.2
100,25,5,10,5.0,10.0,15,33,13.143,0.2
100,25,5,10,5.0,15.0,23,38,8.348,0.24
100,25,5,10,5.0,20.0,18,21,9.722,0.22
100,25,10,3,5.0,10.0,,,,
100,25,10,3,5.0,15.0,,,,
100,25,10,3,5.0,20.0,,,,
100,25,10,5,5.0,10.0,,,,
100,25,10,5,5.0,15.0,,,,
100,25,10,5,5.0,20.0,,,,
100,25,10,10,5.0,10.0,,,,
100,25,10,10,5.0,15.0,,,,
100,25,10,10,5.0,20.0,,,,
100,25,15,3,5.0,10.0,,,,
100,25,15,3,5.0,15.0,,,,
100,25,15,3,5.0,20.0,,,,
100,25,15,5,5.0,10.0,,,,
100,25,15,5,5.0,15.0,,,,
100,25,15,5,5.0,20.0,,,,
100,25,15,10,5.0,10.0,,,,
100,25,15,10,5.0,15.0,,,,
100,25,15,10,5.0,20.0,,,,
100,50,5,3,5.0,10.0,17,5,28.294,0.09
100,50,5,3,5.0,15.0,11,5,3.273,0.11
100,50,5,3,5.0,20.0,21,9,10.619,0.14
100,50,5,5,5.0,10.0,17,14,25.25,0.25
100,50,5,5,5.0,15.0,20,18,16.167,0.25
100,50,5,5,5.0,20.0,14,13,12.0,0.21
100,50,5,10,5.0,10.0,21,44,12.35,0.34
100,50,5,10,5.0,15.0,24,50,13.789,0.37
100,50,5,10,5.0,20.0,27,50,10.957,0.36
100,50,10,3,5.0,10.0,,,,
100,50,10,3,5.0,15.0,,,,
100,50,10,3,5.0,20.0,,,,
100,50,10,5,5.0,10.0,,,,
100,50,10,5,5.0,15.0,,,,
100,50,10,5,5.0,20.0,,,,
100,50,10,10,5.0,10.0,,,,
100,50,10,10,5.0,15.0,,,,
100,50,10,10,5.0,20.0,,,,
100,50,15,3,5.0,10.0,,,,
100,50,15,3,5.0,15.0,,,,
100,50,15,3,5.0,20.0,,,,
100,50,15,5,5.0,10.0,,,,
100,50,15,5,5.0,15.0,,,,
100,50,15,5,5.0,20.0,,,,
100,50,15,10,5.0,10.0,,,,
100,50,15,10,5.0,15.0,,,,
100,50,15,10,5.0,20.0,,,,
100,100,5,3,5.0,10.0,25,9,5.04,0.27
100,100,5,3,5.0,15.0,38,8,5.184,0.3
100,100,5,3,5.0,20.0,20,4,4.3,0.25
100,100,5,5,5.0,10.0,20,16,8.55,0.48
100,100,5,5,5.0,15.0,30,26,14.067,0.41
100,100,5,5,5.0,20.0,25,15,4.28,0.49
100,100,5,10,5.0,10.0,26,52,11.333,0.72
100,100,5,10,5.0,15.0,28,62,13.52,0.68
100,100,5,10,5.0,20.0,29,42,16.483,0.69
100,100,10,3,5.0,10.0,,,,
100,100,10,3,5.0,15.0,,,,
100,100,10,3,5.0,20.0,,,,
100,100,10,5,5.0,10.0,,,,
100,100,10,5,5.0,15.0,,,,
100,100,10,5,5.0,20.0,,,,
100,100,10,10,5.0,10.0,,,,
100,100,10,10,5.0,15.0,,,,
100,100,10,10,5.0,20.0,,,,
100,100,15,3,5.0,10.0,,,,
100,100,15,3,5.0,15.0,,,,
100,100,15,3,5.0,20.0,,,,
100,100,15,5,5.0,10.0,,,,
100,100,15,5,5.0,15.0,,,,
100,100,15,5,5.0,20.0,,,,
100,100,15,10,5.0,10.0,,,,
100,100,15,10,5.0,15.0,,,,
100,100,15,10,5.0,20.0,,,,
