seed,num_pois,num_vqcs,buffer_size,speed,camera_reach,assign_success,redundant_delivers,avg_latency,discovery_rate
100,25,5,3,5.0,10.0,16,16,5.733,0.14
100,25,5,3,5.0,15.0,23,5,18.81,0.11
100,25,5,3,5.0,20.0,18,5,10.389,0.11
100,25,5,5,5.0,10.0,15,27,3.857,0.18
100,25,5,5,5.0,15.0,20,9,17.474,0.19
100,25,5,5,5.0,20.0,19,19,12.263,0.2
100,25,5,10,5.0,10.0,11,34,22.273,0.21
100,25,5,10,5.0,15.0,21,26,10.0,0.21
100,25,5,10,5.0,20.0,20,28,18.55,0.21
100,25,10,3,5.0,10.0,,,,
100,25,10,3,5.0,15.0,,,,
100,25,10,3,5.0,20.0,,,,
100,25,10,5,5.0,10.0,,,,
100,25,10,5,5.0,15.0,,,,
100,25,10,5,5.0,20.0,,,,
100,25,10,10,5.0,10.0,,,,
100,25,10,10,5.0,15.0,,,,
100,25,10,10,5.0,20.0,,,,
100,25,15,3,5.0,10.0,,,,
100,25,15,3,5.0,15.0,,,,
100,25,15,3,5.0,20.0,,,,
100,25,15,5,5.0,10.0,,,,
100,25,15,5,5.0,15.0,,,,
100,25,15,5,5.0,20.0,,,,
100,25,15,10,5.0,10.0,,,,
100,25,15,10,5.0,15.0,,,,
100,25,15,10,5.0,20.0,,,,
100,50,5,3,5.0,10.0,15,15,15.333,0.24
100,50,5,3,5.0,15.0,11,17,5.6,0.19
100,50,5,3,5.0,20.0,21,18,15.143,0.21
100,50,5,5,5.0,10.0,18,37,22.667,0.29
100,50,5,5,5.0,15.0,16,29,16.4,0.26
100,50,5,5,5.0,20.0,24,40,25.208,0.33
100,50,5,10,5.0,10.0,10,56,22.3,0.39
100,50,5,10,5.0,15.0,11,39,40.3,0.32
100,50,5,10,5.0,20.0,25,87,14.76,0.46
100,50,10,3,5.0,10.0,,,,
100,50,10,3,5.0,15.0,,,,
100,50,10,3,5.0,20.0,,,,
100,50,10,5,5.0,10.0,,,,
100,50,10,5,5.0,15.0,,,,
100,50,10,5,5.0,20.0,,,,
100,50,10,10,5.0,10.0,,,,
100,50,10,10,5.0,15.0,,,,
100,50,10,10,5.0,20.0,,,,
100,50,15,3,5.0,10.0,,,,
100,50,15,3,5.0,15.0,,,,
100,50,15,3,5.0,20.0,,,,
100,50,15,5,5.0,10.0,,,,
100,50,15,5,5.0,15.0,,,,
100,50,15,5,5.0,20.0,,,,
100,50,15,10,5.0,10.0,,,,
100,50,15,10,5.0,15.0,,,,
100,50,15,10,5.0,20.0,,,,
100,100,5,3,5.0,10.0,3,30,1.0,0.5
100,100,5,3,5.0,15.0,17,17,10.529,0.29
100,100,5,3,5.0,20.0,10,16,1.3,0.33
100,100,5,5,5.0,10.0,3,55,1.0,0.63
100,100,5,5,5.0,15.0,25,32,17.833,0.48
100,100,5,5,5.0,20.0,45,40,8.864,0.63
100,100,5,10,5.0,10.0,3,106,1.0,0.84
100,100,5,10,5.0,15.0,15,66,13.429,0.62
100,100,5,10,5.0,20.0,44,94,15.325,0.84
100,100,10,3,5.0,10.0,,,,
100,100,10,3,5.0,15.0,,,,
100,100,10,3,5.0,20.0,,,,
100,100,10,5,5.0,10.0,,,,
100,100,10,5,5.0,15.0,,,,
100,100,10,5,5.0,20.0,,,,
100,100,10,10,5.0,10.0,,,,
100,100,10,10,5.0,15.0,,,,
100,100,10,10,5.0,20.0,,,,
100,100,15,3,5.0,10.0,,,,
100,100,15,3,5.0,15.0,,,,
100,100,15,3,5.0,20.0,,,,
100,100,15,5,5.0,10.0,,,,
100,100,15,5,5.0,15.0,,,,
100,100,15,5,5.0,20.0,,,,
100,100,15,10,5.0,10.0,,,,
100,100,15,10,5.0,15.0,,,,
100,100,15,10,5.0,20.0,,,,
